City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,vila franca do campo,37.72,-25.43,59.0,77,40,5.82,PT,1579187354
145,hami,42.8,93.45,13.91,82,24,3.69,CN,1579187582
146,kavieng,-2.57,150.8,84.42,73,100,20.58,PG,1579187262
147,waingapu,-9.66,120.26,84.29,71,100,4.34,ID,1579187771
148,amursk,50.23,136.9,-4.85,99,100,5.7,RU,1579187771
149,ribeira grande,38.52,-28.7,59.0,51,40,9.17,PT,1579187223
150,ushuaia,-54.8,-68.3,51.8,75,75,17.22,AR,1579187042
151,honiara,-9.43,159.95,78.8,88,75,5.82,SB,1579187772
152,kiknur,57.3,47.2,38.41,93,100,16.8,RU,1579187772
153,tuktoyaktuk,69.45,-133.04,-0.4,84,90,9.17,CA,1579187197
154,kapaa,22.08,-159.32,73.4,83,40,5.82,US,1579187190
155,evensk,61.95,159.23,-7.74,83,100,11.21,RU,1579187773
156,krasnovishersk,60.41,57.08,32.14,96,99,10.56,RU,1579187773
157,paso de carrasco,-34.86,-56.05,70.0,30,0,13.87,UY,1579187773
158,albany,42.6,-73.97,42.01,73,90,16.11,US,1579187103
159,varna,43.22,27.92,44.6,65,90,4.7,BG,1579187612
160,jining,35.41,116.58,29.79,88,77,2.17,CN,1579187774
161,cidreira,-30.18,-50.21,72.12,73,100,24.32,BR,1579187233
162,otane,-39.88,176.63,53.01,93,33,3.42,NZ,1579187774
163,mataura,-46.19,168.86,55.99,90,4,1.01,NZ,1579187217
164,bluff,-46.6,168.33,55.99,90,9,1.01,NZ,1579187200
165,caravelas,-17.71,-39.25,80.96,76,0,6.93,BR,1579187412
166,wisconsin rapids,44.38,-89.82,1.0,64,1,18.34,US,1579187775
167,severo-kurilsk,50.68,156.12,15.8,91,92,24.47,RU,1579187190
168,dingle,11.0,122.67,75.97,87,62,9.51,PH,1579187575
169,busselton,-33.65,115.33,72.0,43,2,14.43,AU,1579187197
170,kamen-rybolov,44.75,132.04,-0.18,94,43,0.98,RU,1579187524
171,petropavlovsk-kamchatskiy,53.05,158.65,6.8,84,20,4.47,RU,1579187776
172,tuktoyaktuk,69.45,-133.04,-0.4,84,90,9.17,CA,1579187197
173,new norfolk,-42.78,147.06,53.6,66,90,9.17,AU,1579187191
174,avarua,-21.21,-159.78,78.8,88,100,12.75,CK,1579187195
175,saldanha,-33.01,17.94,71.67,79,6,26.26,ZA,1579187263
176,ilulissat,69.22,-51.1,3.2,34,20,10.29,GL,1579187192
177,punta arenas,-53.15,-70.92,53.6,62,75,12.75,CL,1579186994
178,bilibino,68.05,166.44,-10.08,99,100,2.8,RU,1579187403
179,tanabe,33.73,135.37,39.0,88,100,4.72,JP,1579187778
180,guerrero negro,27.98,-114.06,58.46,79,100,6.06,MX,1579187778
181,hermanus,-34.42,19.23,89.01,53,0,8.99,ZA,1579187208
182,ushuaia,-54.8,-68.3,51.8,75,75,17.22,AR,1579187042
183,lavrentiya,65.58,-171.0,7.12,84,100,9.08,RU,1579187779
184,husavik,66.04,-17.34,30.2,86,20,16.11,IS,1579187202
185,najran,17.49,44.13,68.0,30,0,4.7,SA,1579187412
186,gazojak,41.19,61.4,31.87,72,0,8.41,TM,1579187779
187,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187197
188,anderson,34.53,-82.65,69.01,100,1,6.73,US,1579187780
189,bethel,41.37,-73.41,48.99,81,90,17.22,US,1579187191
190,aklavik,68.22,-135.01,-9.4,67,75,3.36,CA,1579187565
191,jaque,7.52,-78.17,82.94,65,12,2.39,PA,1579187781
192,vitim,59.45,112.56,13.19,94,100,7.49,RU,1579187781
193,vaini,-21.2,-175.2,80.6,88,75,6.93,TO,1579187190
194,port elizabeth,-33.92,25.57,80.6,69,0,12.75,ZA,1579187225
195,bredasdorp,-34.53,20.04,82.4,58,15,12.75,ZA,1579187238
196,mataura,-46.19,168.86,55.99,90,4,1.01,NZ,1579187217
197,yellowknife,62.46,-114.35,-38.0,65,20,2.71,CA,1579187152
198,tasiilaq,65.61,-37.64,17.6,61,20,3.36,GL,1579187197
199,teguldet,57.31,88.17,15.35,91,100,9.91,RU,1579187782
200,banska stiavnica,48.45,18.91,42.01,69,75,1.39,SK,1579187782
201,bluff,-46.6,168.33,55.99,90,9,1.01,NZ,1579187200
202,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187197
203,bethel,41.37,-73.41,48.99,81,90,17.22,US,1579187191
204,busselton,-33.65,115.33,72.0,43,2,14.43,AU,1579187197
205,saskylakh,71.92,114.08,-7.85,91,100,5.93,RU,1579187255
206,mataura,-46.19,168.86,55.99,90,4,1.01,NZ,1579187217
207,yellowknife,62.46,-114.35,-38.0,65,20,2.71,CA,1579187152
208,jamestown,42.1,-79.24,34.0,80,90,19.46,US,1579186926
209,ankazoabo,-22.28,44.52,79.63,77,100,3.18,MG,1579187785
210,bluff,-46.6,168.33,55.99,90,9,1.01,NZ,1579187200
211,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187197
212,mataura,-46.19,168.86,55.99,90,4,1.01,NZ,1579187217
213,naron,43.52,-8.15,55.0,100,75,8.05,ES,1579187785
214,kaitangata,-46.28,169.85,54.05,89,0,8.12,NZ,1579187206
215,bredasdorp,-34.53,20.04,82.4,58,15,12.75,ZA,1579187238
216,punta arenas,-53.15,-70.92,53.6,62,75,12.75,CL,1579186994
217,hermanus,-34.42,19.23,89.01,53,0,8.99,ZA,1579187208
218,thompson,55.74,-97.86,-29.2,66,5,5.82,CA,1579187219
219,mar del plata,-38.0,-57.56,70.0,24,20,17.22,AR,1579187258
220,clyde river,70.47,-68.59,-9.4,76,90,3.36,CA,1579187274
221,cabo san lucas,22.89,-109.91,64.99,41,75,9.17,MX,1579187096
222,haines junction,60.75,-137.51,-25.26,99,34,9.93,CA,1579187787
223,beloha,-25.17,45.05,81.86,68,100,9.08,MG,1579187361
224,atasu,48.68,71.64,1.85,96,55,14.07,KZ,1579187544
225,bredasdorp,-34.53,20.04,82.4,58,15,12.75,ZA,1579187238
226,norman wells,65.28,-126.83,-5.8,83,75,5.82,CA,1579187228
227,hasaki,35.73,140.83,41.0,70,75,4.7,JP,1579186930
228,albany,42.6,-73.97,42.01,73,90,16.11,US,1579187103
229,belaya gora,68.53,146.42,-19.79,92,100,4.85,RU,1579187788
230,laramie,41.31,-105.59,26.01,72,75,11.34,US,1579187521
231,pokrovsk,48.28,37.18,30.83,77,46,5.48,UA,1579187788
232,akdepe,42.06,59.38,33.8,58,0,4.7,TM,1579187789
233,mecca,21.43,39.83,78.17,38,4,11.83,SA,1579187350
234,lebu,-37.62,-73.65,67.66,31,0,12.3,CL,1579187200
235,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187197
236,estelle,29.85,-90.11,69.8,88,90,3.24,US,1579187789
237,katsuura,35.13,140.3,48.2,75,75,8.05,JP,1579187393
238,kalmunai,7.42,81.82,80.47,82,0,12.77,LK,1579187791
239,ugoofaaru,5.67,73.0,81.82,68,0,10.27,MV,1579187791
240,atuona,-9.8,-139.03,80.58,76,95,20.29,PF,1579187207
241,bredasdorp,-34.53,20.04,82.4,58,15,12.75,ZA,1579187238
242,kangaatsiaq,68.31,-53.46,2.16,80,0,16.11,GL,1579187791
243,punta arenas,-53.15,-70.92,53.6,62,75,12.75,CL,1579187576
244,waitati,-45.75,170.57,53.96,87,0,8.93,NZ,1579187792
245,kismayo,-0.36,42.55,81.5,70,25,21.47,SO,1579187792
246,cape town,-33.93,18.42,89.01,65,20,27.51,ZA,1579187122
247,vaini,-21.2,-175.2,80.6,88,75,6.93,TO,1579187792
248,butaritari,3.07,172.79,83.79,80,100,12.35,KI,1579187236
249,indian head,38.6,-77.16,57.2,41,1,16.11,US,1579187257
250,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187197
251,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187197
252,hobart,-42.88,147.33,53.6,66,90,9.17,AU,1579187199
253,mapimi,25.82,-103.85,61.0,55,40,4.38,MX,1579187793
254,tura,25.52,90.22,64.89,68,0,3.38,IN,1579187750
255,tuktoyaktuk,69.45,-133.04,-0.4,84,90,9.17,CA,1579187197
256,port alfred,-33.59,26.89,80.01,83,0,7.0,ZA,1579187203
257,hobart,-42.88,147.33,53.6,66,90,9.17,AU,1579187199
258,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187197
259,shimoda,34.67,138.95,42.01,81,100,18.05,JP,1579187794
260,dikson,73.51,80.55,-3.06,96,100,18.3,RU,1579187213
261,ulaanbaatar,47.91,106.88,-16.6,68,0,4.47,MN,1579187720
262,katsuura,35.13,140.3,48.2,75,75,8.05,JP,1579187393
263,khatanga,71.97,102.5,-14.19,96,78,8.14,RU,1579187227
264,vaini,-21.2,-175.2,80.6,88,75,6.93,TO,1579187792
265,cape town,-33.93,18.42,89.01,65,20,27.51,ZA,1579187122
266,mataura,-46.19,168.86,55.99,90,4,1.01,NZ,1579187217
267,busselton,-33.65,115.33,72.0,43,2,14.43,AU,1579187197
268,mataura,-46.19,168.86,55.99,90,4,1.01,NZ,1579187217
269,aksarka,66.56,67.8,17.37,94,100,11.56,RU,1579187796
270,gamba,-2.65,10.0,84.16,76,80,8.97,GA,1579187797
271,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187197
272,broken hill,-31.95,141.43,69.8,26,0,13.87,AU,1579187797
273,bambous virieux,-20.34,57.76,81.0,83,75,11.41,MU,1579187798
274,bethel,41.37,-73.41,50.0,49,20,21.92,US,1579187798
275,faanui,-16.48,-151.75,80.82,80,100,16.82,PF,1579187426
276,tuktoyaktuk,69.45,-133.04,-0.4,84,75,9.17,CA,1579187798
277,dikson,73.51,80.55,-3.06,96,100,18.3,RU,1579187213
278,deputatskiy,69.3,139.9,-17.16,94,99,4.54,RU,1579187798
279,thompson,55.74,-97.86,-29.2,66,5,5.82,CA,1579187219
280,punta arenas,-53.15,-70.92,53.6,62,75,12.75,CL,1579187576
281,ushuaia,-54.8,-68.3,51.8,75,75,17.22,AR,1579187042
282,ayame,5.61,-3.16,96.51,20,0,4.34,CI,1579187799
283,east london,-33.02,27.91,82.4,74,0,13.87,ZA,1579187799
284,ojinaga,29.57,-104.42,60.8,67,90,5.82,MX,1579187507
285,new norfolk,-42.78,147.06,53.6,66,90,9.17,AU,1579187800
286,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187800
287,andilamena,-17.02,48.58,73.35,80,100,9.44,MG,1579187800
288,mazyr,52.05,29.25,33.89,87,100,8.08,BY,1579187800
289,new norfolk,-42.78,147.06,53.6,66,90,9.17,AU,1579187800
290,hilo,19.73,-155.09,69.8,83,90,1.86,US,1579187178
291,punta arenas,-53.15,-70.92,53.6,62,75,12.75,CL,1579187576
292,albany,42.6,-73.97,41.0,69,75,23.04,US,1579187801
